rank,title,ratings,rating_num,meta
112,消失的爱人,8.7,329330,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙.../2014 / 美国 / 剧情 犯罪 悬疑 惊悚
113,菊次郎的夏天,8.7,169229,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus.../1999 / 日本 / 剧情 喜剧
114,倩女幽魂,8.6,232289,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W.../1987 / 香港 / 剧情 爱情 武侠 古装
115,燃情岁月,8.8,143642,导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki.../1994 / 美国 / 剧情 爱情 西部 家庭
116,神偷奶爸,8.5,350750,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: .../2010 / 美国 / 儿童 喜剧 动画
117,电锯惊魂,8.7,188953,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾.../2004 / 美国 澳大利亚 / 犯罪 悬疑 惊悚
118,七武士,9.2,72052,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 .../1954 / 日本 / 动作 冒险 剧情
119,谍影重重3,8.7,171623,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / .../2007 / 美国 德国 / 动作 悬疑 惊悚
120,岁月神偷,8.6,293228,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍.../2010 / 香港 中国大陆 / 剧情 家庭
121,借东西的小人阿莉埃蒂,8.7,204403,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木.../2010 / 日本 / 动画 奇幻 冒险
122,恐怖直播,8.7,199639,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y.../2013 / 韩国 / 剧情 犯罪 悬疑
123,真爱至上,8.5,295070,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林.../2003 / 英国 美国 法国 / 喜剧 剧情 爱情
124,雨人,8.6,200687,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman .../1988 / 美国 / 剧情
125,贫民窟的百万富翁,8.5,379930,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫.../2008 / 英国 美国 / 剧情 爱情
126,虎口脱险,8.9,102303,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès.../1966 / 法国 英国 / 喜剧 战争
127,东邪西毒,8.6,236500,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C.../1994 / 香港 台湾 / 剧情 动作 爱情 武侠 古装
128,记忆碎片,8.5,262390,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /.../2000 / 美国 / 犯罪 剧情 悬疑 惊悚
129,杀人回忆,8.6,195106,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun.../2003 / 韩国 / 犯罪 剧情 悬疑 惊悚
130,红辣椒,8.8,119705,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T.../2006 / 日本 / 动画 悬疑 科幻 惊悚
131,疯狂原始人,8.7,352111,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演.../2013 / 美国 / 喜剧 动画 冒险
132,怪兽电力公司,8.6,224429,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约.../2001 / 美国 / 喜剧 动画 儿童 奇幻
133,卢旺达饭店,8.8,111602,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥.../2004 / 英国 南非 意大利 美国 / 剧情 历史 战争
134,黑天鹅,8.5,395105,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔丽·波曼 Natalie P.../2010 / 美国 / 剧情 惊悚
135,穿越时空的少女,8.6,175718,导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya.../2006 / 日本 / 剧情 爱情 科幻 动画
136,魂断蓝桥,8.8,123620,导演: Mervyn LeRoy   主演: Vivien Leigh / Robert Taylor / Lucile Watson/1940 / 美国 / 剧情 战争 爱情
137,猜火车,8.5,236710,导演: 丹尼·博伊尔 Danny Boyle   主演: 伊万·麦克格雷格 Ewan McGregor / .../1996 / 英国 / 犯罪 剧情
138,恋恋笔记本,8.5,264339,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /.../2004 / 美国 / 剧情 爱情
139,喜宴,8.8,128472,导演: 李安   主演: 赵文瑄 / 归亚蕾 / 金素梅/1993 / 台湾 美国 / 剧情 喜剧 爱情 同性 家庭
140,小森林 夏秋篇,8.9,114870,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir.../2014 / 日本 / 剧情
141,英雄本色,8.7,138891,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国.../1986 / 香港 / 动作 犯罪
142,雨中曲,8.9,88549,导演: Stanley Donen / Gene Kelly   主演: Gene Kelly / Donald O'Connor / .../1952 / 美国 / 喜剧 歌舞 爱情
143,喜剧之王,8.5,286071,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch.../1999 / 香港 / 喜剧 剧情 爱情
144,傲慢与偏见,8.4,282946,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·.../2005 / 法国 英国 美国 / 剧情 爱情
145,教父3,8.7,121353,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A.../1990 / 美国 / 剧情 犯罪
146,完美的世界,9.0,74032,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos.../1993 / 美国 / 剧情 犯罪
147,纵横四海,8.7,133004,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung.../1991 / 香港 / 剧情 喜剧 动作 犯罪
148,萤火之森,8.7,143942,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K.../2011 / 日本 / 剧情 爱情 动画 奇幻
149,玩具总动员3,8.7,183114,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾.../2010 / 美国 / 喜剧 动画 奇幻 冒险
150,人工智能,8.6,179506,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley.../2001 / 美国 / 冒险 剧情 科幻
151,我是山姆,8.8,95329,导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi.../2001 / 美国 / 剧情 家庭
152,浪潮,8.7,122763,导演: 丹尼斯·甘塞尔 Dennis Gansel   主演: 尤尔根·沃格尔 Jürgen Vogel .../2008 / 德国 / 剧情 惊悚
153,香水,8.4,260278,导演: 汤姆·提克威 Tom Tykwer   主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克.../2006 / 德国 法国 西班牙 美国 / 剧情 犯罪 奇幻
154,7号房的礼物,8.7,158846,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi.../2013 / 韩国 / 剧情 喜剧 家庭
